date,NEX-GDDP__ACCESS-CM2,NEX-GDDP__ACCESS-ESM1-5,NEX-GDDP__BCC-CSM2-MR,NEX-GDDP__CMCC-CM2-SR5,NEX-GDDP__CMCC-ESM2,NEX-GDDP__CNRM-CM6-1,NEX-GDDP__CNRM-ESM2-1,NEX-GDDP__CanESM5,NEX-GDDP__EC-Earth3-Veg-LR,NEX-GDDP__EC-Earth3,NEX-GDDP__FGOALS-g3,NEX-GDDP__GFDL-CM4,NEX-GDDP__GFDL-ESM4,NEX-GDDP__GISS-E2-1-G,NEX-GDDP__HadGEM3-GC31-LL,NEX-GDDP__INM-CM4-8,NEX-GDDP__INM-CM5-0,NEX-GDDP__IPSL-CM6A-LR,NEX-GDDP__KACE-1-0-G,NEX-GDDP__KIOST-ESM,NEX-GDDP__MIROC-ES2L,NEX-GDDP__MIROC6,NEX-GDDP__MPI-ESM1-2-HR,NEX-GDDP__MPI-ESM1-2-LR,NEX-GDDP__MRI-ESM2-0,NEX-GDDP__NESM3,NEX-GDDP__NorESM2-LM,NEX-GDDP__NorESM2-MM,NEX-GDDP__TaiESM1,NEX-GDDP__UKESM1-0-LL,CIL-GDPCIR__ACCESS-CM2,CIL-GDPCIR__ACCESS-ESM1-5,CIL-GDPCIR__BCC-CSM2-MR,CIL-GDPCIR__CMCC-CM2-SR5,CIL-GDPCIR__CMCC-ESM2,CIL-GDPCIR__CanESM5,CIL-GDPCIR__EC-Earth3-CC,CIL-GDPCIR__EC-Earth3-Veg-LR,CIL-GDPCIR__EC-Earth3-Veg,CIL-GDPCIR__EC-Earth3,CIL-GDPCIR__FGOALS-g3,CIL-GDPCIR__GFDL-CM4,CIL-GDPCIR__GFDL-ESM4,CIL-GDPCIR__HadGEM3-GC31-LL,CIL-GDPCIR__INM-CM4-8,CIL-GDPCIR__INM-CM5-0,CIL-GDPCIR__MIROC-ES2L,CIL-GDPCIR__MIROC6,CIL-GDPCIR__MPI-ESM1-2-LR,CIL-GDPCIR__NESM3,CIL-GDPCIR__NorESM2-LM,CIL-GDPCIR__NorESM2-MM,CIL-GDPCIR__UKESM1-0-LL,EURO-CORDEX__cnrm_cerfacs_cm5_cnrm_aladin63,EURO-CORDEX__cnrm_cerfacs_cm5_knmi_racmo22e,EURO-CORDEX__cnrm_cerfacs_cm5_smhi_rca4,EURO-CORDEX__ichec_ec_earth_knmi_racmo22e,EURO-CORDEX__mohc_hadgem2_es_dmi_hirham5,EURO-CORDEX__mohc_hadgem2_es_knmi_racmo22e,EURO-CORDEX__mohc_hadgem2_es_smhi_rca4,EURO-CORDEX__mpi_m_mpi_esm_lr_smhi_rca4,EURO-CORDEX__ncc_noresm1_m_dmi_hirham5,EURO-CORDEX__ncc_noresm1_m_gerics_remo2015,EURO-CORDEX__ncc_noresm1_m_smhi_rca4
2000-06-21,28.1455,25.2924,27.1134,17.2399,22.1638,18.7099,22.2157,23.6498,19.6539,20.7170,21.4455,22.2048,21.5744,25.7684,20.5250,23.4522,25.7463,18.9758,25.9789,21.9282,22.0448,21.6111,26.6334,23.1580,17.6791,31.8277,26.8839,22.4225,20.5728,19.6937,27.8686,24.9330,27.4137,17.1016,22.6170,23.7386,15.6811,19.4287,28.6635,20.7097,18.8373,22.8046,23.0735,22.4600,22.3900,25.5284,21.8664,21.7581,23.9394,32.4909,26.0686,22.3001,22.7179,,,,,,,,,,,
2000-06-22,32.0795,27.1810,31.3038,19.4044,19.7707,18.9573,22.1182,26.2172,19.4635,18.2218,23.9631,22.5631,21.9203,25.3797,17.6369,24.3009,27.6659,22.5178,25.4021,21.4323,21.9924,22.6638,28.5532,24.7619,19.9315,31.7490,29.3411,19.8383,20.4055,18.7717,32.0981,26.5866,31.3723,19.6414,20.1019,26.1077,16.0025,19.3265,26.0103,18.0669,19.7499,23.2712,23.6007,20.4080,23.5202,28.0837,21.9221,22.3882,25.2074,31.9025,28.3046,19.6377,19.8396,,,,,,,,,,,
2000-06-23,32.8526,25.9836,28.6323,19.8296,18.8049,20.0350,22.0122,27.7749,22.7159,17.6306,22.6994,24.3801,21.0478,30.7502,19.2510,26.2473,31.0642,22.4181,25.8399,21.3186,21.9139,25.4685,24.2076,21.0624,18.3230,25.4503,30.6499,19.8094,19.6598,19.8463,33.0852,25.2091,29.0641,20.0369,19.0902,27.4269,17.4173,23.3957,23.2101,17.5124,17.4047,25.0623,22.6407,17.3511,25.4517,31.9658,21.6135,25.3139,21.3700,25.9627,29.2700,19.5750,18.6231,,,,,,,,,,,
2000-06-24,31.5436,25.4711,25.9214,18.2896,18.0541,20.1340,20.2437,27.3281,23.8990,18.8848,21.7422,25.7540,21.2795,31.6655,17.7095,28.6962,31.1418,22.3075,27.0765,23.4561,22.1618,30.1456,20.9458,19.5184,19.6638,21.1787,31.0475,21.2982,18.6635,21.8955,30.9728,24.6253,26.3156,18.0954,18.2798,27.1541,19.8378,24.8237,19.9639,18.7433,18.8278,26.2127,22.7328,19.1140,28.5517,31.9464,22.2464,30.4395,19.4049,21.6380,29.4011,21.2571,19.7843,,,,,,,,,,,
2000-06-25,29.5691,26.3957,27.5733,19.6054,20.5068,22.7078,20.3408,25.4650,21.7901,18.8689,23.2218,24.0006,21.2095,23.4835,16.4926,29.1362,26.0223,21.3350,22.3563,25.2309,20.0581,29.8336,21.4726,20.5202,23.1591,20.2044,28.9361,23.3304,19.1282,23.9006,28.9960,25.2959,28.3754,19.7356,20.9580,24.9603,23.4627,22.4878,20.7256,18.5238,20.6085,24.5101,21.9827,17.3663,28.7355,25.8709,19.4896,30.0022,20.2083,20.5929,27.3686,23.2839,22.1033,,,,,,,,,,,
2000-06-26,28.3845,28.2099,31.1019,24.0595,23.6847,24.5439,22.7192,24.0534,23.4886,18.6878,25.1762,23.8551,22.8847,19.1421,19.0116,28.6806,20.8718,20.2887,21.9684,25.3477,19.5250,27.0293,24.7452,23.6515,26.5556,20.2987,27.9883,24.1314,19.6258,24.9154,27.2750,27.0823,30.6617,24.0503,24.0862,23.6588,24.7409,24.1089,23.4844,18.2706,16.5437,24.4412,23.5642,15.7612,27.7846,19.7393,18.8550,26.4527,23.4717,20.4861,26.3878,24.0615,24.3105,,,,,,,,,,,
2000-06-27,26.9443,27.3112,33.3984,24.8467,26.5035,24.8282,24.4461,27.0608,22.1789,18.6315,24.1211,24.7970,24.3995,19.0783,23.2358,27.8024,21.1648,20.7240,21.7931,24.5502,19.0078,19.9216,28.1961,28.5001,30.2848,22.0830,27.4897,22.0757,18.4104,24.4023,25.9413,25.8144,33.0576,24.4983,25.8692,26.4931,26.2628,22.5080,25.2309,18.0627,18.3393,25.0921,25.3608,17.8181,26.7892,19.7759,18.5673,19.1481,28.6448,22.2302,26.0732,22.0044,25.1469,,,,,,,,,,,
2000-06-28,23.9112,27.7573,30.5145,22.8258,29.1008,24.0820,25.0168,27.9712,18.6312,19.2693,23.9448,24.9662,23.5657,22.0211,21.9179,27.2508,22.1598,21.9892,23.4414,19.5016,20.1112,17.7204,29.1811,26.8448,30.1109,23.7857,24.5467,21.3741,17.6454,21.9397,23.5012,26.0670,29.2804,22.4082,27.4549,27.5289,25.6880,18.6089,25.6780,18.7791,22.4030,24.7310,24.0278,22.6103,26.0064,20.4117,19.6956,16.7187,26.6674,23.5101,23.1814,20.8893,24.1255,,,,,,,,,,,
2000-06-29,25.1054,30.2665,26.7838,24.7452,24.3512,22.3866,23.3281,28.7509,16.8589,19.9788,23.5006,25.0722,22.8152,21.0918,22.6284,25.4936,24.0694,23.9407,26.1494,19.8642,19.8351,20.3770,28.1431,21.3827,30.1644,23.1300,24.3361,28.1824,20.9374,21.0298,24.6778,28.5720,24.7812,24.0488,23.7332,28.2496,24.4779,16.7131,27.5194,19.5527,22.4534,24.4324,22.9775,21.1112,24.1676,22.4352,19.3576,18.9579,20.7134,22.8564,22.6680,27.1590,21.4372,,,,,,,,,,,
2000-06-30,27.0138,29.1399,28.9814,26.2730,25.1199,23.5579,24.4814,29.0528,19.4613,20.1929,22.9544,26.4107,24.5830,19.9627,23.2225,21.4470,26.4399,25.2737,24.6419,22.0308,20.1186,24.1352,29.9694,20.4619,27.7526,21.7729,26.5257,26.7089,20.0059,20.8218,26.7087,27.2925,26.6192,25.3512,24.6201,28.2802,25.2380,19.4692,24.1472,19.5812,23.6040,25.4618,24.8895,21.8280,19.6192,25.5001,19.7644,22.9362,19.5179,21.4282,24.8548,25.7844,20.3925,,,,,,,,,,,
